buy_inst_num,date,rank_reason,sell_inst_num,stock_name,stock_symbol
0.00,2020-10-30,日涨幅偏离值达7%的证券,2887.00,电子城,600658
1302.42,2021-02-09,"连续三个交易日内,跌幅偏离值累计达20%的证券",317.68,天元股份,003003
4641.80,2021-02-09,日涨幅偏离值达7%的证券,0.00,科大讯飞,002230
1791.30,2021-03-17,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,2975.01,中环装备,300140
762.03,2021-03-17,日涨幅偏离值达7%的证券,1464.12,科伦药业,002422
0.00,2020-11-18,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,425.98,海川智能,300720
0.00,2020-11-18,无价格涨跌幅限制的证券,2758.11,汇创达,300909
0.00,2020-12-31,当日无价格涨跌幅限制的A股，出现异常波动停牌,378.34,西大门,605155
0.00,2020-12-31,"连续三个交易日内,涨幅偏离值累计达20%的证券",67.95,一鸣食品,605179
21.47,2021-01-14,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,374.34,世名科技,300522
90.45,2021-01-14,日振幅值达15%的证券,26.10,和科达,002816
2110.61,2021-04-19,"连续三个交易日内,跌幅偏离值累计达20%的证券",0.00,江苏吴中,600200
0.00,2021-04-19,"连续三个交易日内,涨幅偏离值累计达20%的证券",8094.74,伊力特,600197
1676.56,2021-03-04,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,1777.79,吉峰科技,300022
588.59,2021-03-04,"连续三个交易日内,涨幅偏离值累计达20%的证券",607.02,苏常柴A,000570
6190.44,2021-05-14,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,14471.31,震安科技,300767
6679.05,2021-05-13,日涨幅偏离值达7%的证券,4153.08,恒顺醋业,600305
0.00,2021-05-06,"连续三个交易日内,涨幅偏离值累计达20%的证券",48.25,英利汽车,601279
7115.93,2021-05-06,日跌幅偏离值达7%的证券,1270.57,美诺华,603538
1415.06,2021-05-27,有价格涨跌幅限制的日换手率达到30%的证券,390.89,银禧科技,300221
4826.59,2021-05-27,日跌幅偏离值达7%的证券,0.00,海翔药业,002099
342.71,2021-06-08,日涨幅偏离值达7%的证券,0.00,瑞斯康达,603803
0.00,2021-06-07,日涨幅偏离值达7%的证券,3594.67,通富微电,002156
246.69,2021-07-01,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,210.09,*ST赫美,002356
725.19,2021-07-01,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,1029.92,惠泰医疗,688617
6.97,2020-12-11,有价格涨跌幅限制的日换手率达到30%的证券,2875.97,江龙船艇,300589
0.00,2020-12-11,日换手率达20%的证券,2293.16,健之佳,605266
0.00,2020-08-24,无价格涨跌幅限制的证券,1783.02,海晨股份,300873
993.72,2020-08-24,无价格涨跌幅限制的证券,1280.12,金春股份,300877
1298.87,2021-06-18,日涨幅偏离值达7%的证券,2710.85,常山北明,000158
50119.80,2021-06-18,日跌幅偏离值达7%的证券,111862.40,韦尔股份,603501
5107.46,2021-03-31,日跌幅偏离值达7%的证券,0.00,航发动力,600893
0.00,2021-03-31,"连续三个交易日内,涨幅偏离值累计达20%的证券",8058.36,中油工程,600339
530.05,2021-01-27,日涨幅偏离值达7%的证券,0.00,川仪股份,603100
0.00,2021-01-27,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,2330.78,华凯创意,300592
1521.76,2020-10-14,日换手率达20%的证券,3358.61,众望布艺,605003
1436.16,2020-10-14,有价格涨跌幅限制的日换手率达到30%的证券,3867.76,大宏立,300865
1015.07,2021-02-23,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,4066.28,新余国科,300722
18931.35,2020-08-03,日涨幅偏离值达7%的证券,0.00,深圳机场,000089
601.24,2020-08-12,日换手率达20%的证券,467.97,建科机械,300823
0.00,2020-08-11,日振幅值达15%的证券,3108.63,歌华有线,600037
0.00,2020-09-10,"连续三个交易日内,涨幅偏离值累计达20%的证券",1122.71,九牧王,601566
927.73,2020-09-10,日涨幅偏离值达7%的证券,1650.10,京粮控股,000505
733.97,2020-10-30,日跌幅偏离值达7%的证券,9218.50,环旭电子,601231
183.08,2020-10-30,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,231.23,金太阳,300606
