Stkcd	Trddt	Clsprc
000503	2022-01-25	11.510
000503	2022-01-26	11.730
000504	2022-01-25	16.890
000504	2022-01-26	16.220
000505	2022-01-25	6.750
000505	2022-01-26	6.770
000506	2022-01-25	3.880
000506	2022-01-26	3.880
000507	2022-01-25	5.810
000507	2022-01-26	5.890
000509	2022-01-25	3.740
000509	2022-01-26	3.630
000510	2022-01-25	5.870
000510	2022-01-26	5.880
000513	2022-01-25	34.980
000513	2022-01-26	35.740
000514	2022-01-25	3.600
000514	2022-01-26	3.620
000516	2022-01-25	7.440
000516	2022-01-26	7.070
000517	2022-01-25	2.420
000517	2022-01-26	2.470
000518	2022-01-25	3.300
000518	2022-01-26	3.330
000519	2022-01-25	20.960
000519	2022-01-26	20.770
000520	2022-01-25	3.770
000520	2022-01-26	3.700
000521	2022-01-25	3.270
000521	2022-01-26	3.310
000523	2022-01-25	3.520
000523	2022-01-26	3.620
000524	2022-01-25	8.140
000524	2022-01-26	7.750
000525	2022-01-25	8.020
000525	2022-01-26	7.620
000526	2022-01-25	17.850
000526	2022-01-26	18.020
000529	2022-01-25	5.750
000529	2022-01-26	5.770
000530	2022-01-25	6.000
000530	2022-01-26	5.400
000531	2022-01-25	8.240
000531	2022-01-26	8.330
000532	2022-01-25	11.010
000532	2022-01-26	11.100
000533	2022-01-25	3.680
000533	2022-01-26	3.750
000534	2022-01-25	14.580
000534	2022-01-26	14.690
000536	2022-01-25	2.190
000536	2022-01-26	2.220
000537	2022-01-25	21.710
000537	2022-01-26	22.030
000538	2022-01-25	92.500
000538	2022-01-26	92.840
000539	2022-01-25	4.750
000539	2022-01-26	4.950
000540	2022-01-25	2.510
000540	2022-01-26	2.500
000541	2022-01-25	5.230
000541	2022-01-26	5.230
000543	2022-01-25	4.180
000543	2022-01-26	4.170
000544	2022-01-25	6.030
000544	2022-01-26	6.060
000545	2022-01-25	3.670
000545	2022-01-26	3.720
000546	2022-01-25	14.500
000546	2022-01-26	14.850
000547	2022-01-25	15.100
000547	2022-01-26	15.200
000548	2022-01-25	3.820
000548	2022-01-26	3.900
000550	2022-01-25	15.710
000550	2022-01-26	15.890
000551	2022-01-25	9.120
000551	2022-01-26	9.160
000552	2022-01-25	3.530
000552	2022-01-26	3.590
000553	2022-01-25	7.780
000553	2022-01-26	7.890
000554	2022-01-25	5.260
000554	2022-01-26	5.350
000555	2022-01-25	14.640
