buy_inst_num,date,rank_reason,sell_inst_num,stock_name,stock_symbol
5811.46,2022-03-16,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,5916.48,杭州园林,300649
4146.78,2022-03-16,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,402.10,迪威迅,300167
1620.58,2022-03-15,"连续三个交易日内,涨幅偏离值累计达20%的证券",1584.89,萃华珠宝,002731
0.00,2022-03-23,"连续三个交易日内,涨幅偏离值累计达20%的证券",21866.80,天保基建,000965
15001.73,2022-03-23,"连续三个交易日内,跌幅偏离值累计达20%的证券",12513.10,北化股份,002246
373.43,2022-03-23,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,701.83,新光药业,300519
5413.73,2022-03-23,日振幅值达15%的证券,1056.65,海联金汇,002537
0.00,2022-04-01,"连续三个交易日内,跌幅偏离值累计达20%的证券",661.38,开开实业,600272
6768.93,2022-04-01,日振幅值达15%的证券,2130.63,太安堂,002433
430.28,2022-04-01,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,0.00,君亭酒店,301073
1385.85,2022-04-01,"连续三个交易日内,涨幅偏离值累计达20%的证券",246.69,海南瑞泽,002596
6402.43,2022-04-01,日跌幅偏离值达7%的证券,3836.96,贵州百灵,002424
8031.01,2022-04-01,日跌幅偏离值达7%的证券,5453.47,北大医药,000788
4876.81,2022-04-01,"连续三个交易日内,涨幅偏离值累计达20%的证券",548.48,渝开发,000514
742.12,2022-03-14,日跌幅偏离值达7%的证券,0.00,银龙股份,603969
326.20,2022-03-14,有价格涨跌幅限制的日换手率达到30%的证券,518.87,三维天地,301159
0.00,2022-03-14,日跌幅偏离值达7%的证券,313.82,大理药业,603963
998.99,2022-03-14,日换手率达20%的证券,1355.10,长江材料,001296
962.19,2022-04-11,日换手率达20%的证券,0.00,盛航股份,001205
3026.78,2022-04-11,有价格涨跌幅限制的日换手率达到30%的证券,2321.72,津荣天宇,300988
5944.34,2022-04-11,"连续三个交易日内,涨幅偏离值累计达20%的证券",22538.90,兰花科创,600123
909.70,2022-04-11,有价格涨跌幅限制的日换手率达到30%的证券,877.36,华蓝集团,301027
0.00,2022-03-15,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,1119.55,怡达股份,300721
7318.51,2022-03-15,"连续三个交易日内,跌幅偏离值累计达20%的证券",5205.45,美吉姆,002621
460.29,2022-03-15,"连续三个交易日内,涨幅偏离值累计达20%的证券",798.98,环球印务,002799
0.00,2022-03-15,日振幅值达15%的证券,3507.63,乾景园林,603778
0.00,2022-03-15,无价格涨跌幅限制的证券,1391.55,软通动力,301236
0.00,2022-03-15,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,2257.96,寒武纪,688256
1102.84,2022-03-15,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,3286.93,山河药辅,300452
0.00,2022-03-23,无价格涨跌幅限制的证券,800.09,和顺科技,301237
660.50,2022-03-23,有价格涨跌幅限制的日换手率达到30%的证券,231.52,霍普股份,301024
0.00,2022-03-22,无价格涨跌幅限制的证券,1223.42,哈焊华通,301137
1711.01,2022-03-22,"连续三个交易日内,涨幅偏离值累计达20%的证券",780.00,众源新材,603527
7.61,2022-03-22,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,299.34,顶固集创,300749
0.00,2022-03-22,日涨幅偏离值达7%的证券,71.46,星湖科技,600866
1493.53,2022-03-07,日涨幅偏离值达7%的证券,0.00,吉大正元,003029
4168.77,2022-03-07,日跌幅偏离值达7%的证券,4867.12,永新光学,603297
1903.60,2022-03-07,"连续三个交易日内,跌幅偏离值累计达20%的证券",11806.03,科达利,002850
0.00,2022-04-01,有价格涨跌幅限制的日收盘价格涨幅达到20%的证券,151.81,海希通讯,831305
3626.63,2022-04-01,日跌幅偏离值达7%的证券,2019.39,中欣氟材,002915
0.00,2022-04-01,日振幅值达15%的证券,6686.16,农发种业,600313
1949.42,2022-04-01,"连续三个交易日内,跌幅偏离值累计达20%的证券",2847.80,獐子岛,002069
0.00,2022-04-01,日跌幅偏离值达7%的证券,2116.77,美诺华,603538
3225.78,2022-03-31,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.00,双环科技,000707
3550.96,2022-03-31,有价格涨跌幅限制的日换手率达到30%的证券,0.00,圣诺生物,688117
3508.50,2022-03-14,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,7453.07,同和药业,300636
12597.38,2022-03-14,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,93550.07,诺唯赞,688105
0.00,2022-03-14,日涨幅偏离值达7%的证券,1494.29,成飞集成,002190
0.00,2022-04-11,"连续三个交易日内,涨幅偏离值累计达20%的证券",1629.71,川恒股份,002895
135.72,2022-04-11,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,373.16,ST八菱,002592
203.78,2022-04-11,有价格涨跌幅限制的日价格振幅达到30%的证券,755.21,农尚环境,300536
2885.84,2022-04-11,有价格涨跌幅限制的日换手率达到30%的证券,4343.48,万辰生物,300972
0.00,2022-04-11,"连续三个交易日内,涨幅偏离值累计达20%的证券",8311.80,光大嘉宝,600622
3214.36,2022-04-11,有价格涨跌幅限制的日换手率达到30%的证券,2743.56,江苏博云,301003
1441.59,2022-03-15,有价格涨跌幅限制的日换手率达到30%的证券,2427.83,雄帝科技,300546
38109.90,2022-03-15,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.00,永辉超市,601933
20.00,2022-03-15,日换手率达20%的证券,552.16,宏英智能,001266
0.00,2022-03-14,无价格涨跌幅限制的证券,326.60,聚赛龙,301131
830.16,2022-03-14,有价格涨跌幅限制的日换手率达到30%的证券,7277.70,博拓生物,688767
0.00,2022-03-14,日振幅值达15%的证券,3426.88,吉翔股份,603399
3244.02,2022-03-14,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.00,百傲化学,603360
2440.30,2022-03-22,日换手率达20%的证券,1809.97,准油股份,002207
67.59,2022-03-22,"连续三个交易日内,涨幅偏离值累计达20%的证券",538.30,建艺集团,002789
0.00,2022-03-22,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,1525.46,海辰药业,300584
0.00,2022-03-22,"连续三个交易日内,涨幅偏离值累计达20%的证券",430.69,香溢融通,600830
2317.86,2022-03-22,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,3777.52,ST国医,000516
4069.03,2022-03-22,日振幅值达15%的证券,4206.78,鞍重股份,002667
0.00,2022-03-22,无价格涨跌幅限制的证券,1826.71,何氏眼科,301103
0.00,2022-03-07,日涨幅偏离值达7%的证券,1106.82,宁波联合,600051
499.52,2022-03-07,日跌幅偏离值达7%的证券,2232.98,旭升股份,603305
32.60,2022-03-07,日跌幅偏离值达7%的证券,3913.02,日发精机,002520
324.24,2022-03-07,"连续三个交易日内,涨幅偏离值累计达20%的证券",1649.14,瑞鹄模具,002997
4596.64,2022-03-07,日跌幅偏离值达7%的证券,17180.09,纳思达,002180
0.00,2022-03-07,日换手率达20%的证券,6147.49,奥锐特,605116
0.00,2022-03-04,日换手率达20%的证券,2031.87,海鸥股份,603269
936.72,2022-03-04,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,1190.46,仟源医药,300254
4912.71,2022-04-01,"连续三个交易日内,跌幅偏离值累计达20%的证券",4863.24,新金路,000510
715.23,2022-03-31,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,3450.10,旗天科技,300061
0.00,2022-03-31,日跌幅偏离值达7%的证券,4372.71,西子洁能,002534
1110.48,2022-03-31,日振幅值达15%的证券,169.07,台海核电,002366
0.00,2022-03-31,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,1254.25,信测标准,300938
0.00,2022-03-31,日跌幅偏离值达7%的证券,7147.14,上海沪工,603131
2130.61,2022-03-31,日涨幅偏离值达7%的证券,4157.50,恒宝股份,002104
146.08,2022-03-31,有价格涨跌幅限制的日换手率达到30%的证券,379.63,深水规院,301038
0.00,2022-03-14,无价格涨跌幅限制的证券,326.60,聚赛龙,301131
3676.56,2022-03-14,日跌幅偏离值达7%的证券,29214.88,神火股份,000933
100596.07,2022-03-11,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,0.00,东方生物,688298
6810.91,2022-03-11,日涨幅偏离值达7%的证券,19387.63,酒鬼酒,000799
33055.80,2022-03-11,连续3个交易日内收盘价格跌幅较基准指数偏离值累计达到-30%的证券,16357.85,青岛中程,300208
1987.63,2022-03-11,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,489.60,天玑科技,300245
2408.91,2022-03-11,日振幅值达15%的证券,2841.99,凯撒旅业,000796
0.00,2022-03-28,无价格涨跌幅限制的证券,1051.18,兆讯传媒,301102
8055.58,2022-03-28,有价格涨跌幅限制的日换手率达到30%的证券,9292.46,拓新药业,301089
5665.20,2022-03-28,日换手率达20%的证券,0.00,亚太药业,002370
1593.42,2022-03-28,日跌幅偏离值达7%的证券,15381.07,德业股份,605117
1131.60,2022-04-11,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,1030.10,神农科技,300189
5736.99,2022-04-11,"连续三个交易日内,涨幅偏离值累计达20%的证券",4771.74,山东路桥,000498
5078.04,2022-04-11,"连续三个交易日内,跌幅偏离值累计达20%的证券",925.56,沙河股份,000014
0.00,2022-04-11,日换手率达20%的证券,614.66,中岩大地,003001
2886.98,2022-04-11,有价格涨跌幅限制的日换手率达到30%的证券,2896.46,建研设计,301167
74.43,2022-04-11,"连续三个交易日内,涨幅偏离值累计达20%的证券",678.92,宝塔实业,000595
1524.86,2022-04-11,"连续三个交易日内,涨幅偏离值累计达20%的证券",1656.84,名雕股份,002830
4354.85,2022-03-14,日跌幅偏离值达7%的证券,6649.01,悦心健康,002162
44659.80,2022-03-14,"连续三个交易日内,涨幅偏离值累计达20%的证券",42845.90,华海药业,600521
0.00,2022-03-14,日振幅值达15%的证券,1372.40,苏州高新,600736
0.00,2022-03-14,日跌幅偏离值达7%的证券,313.82,大理药业,603963
742.12,2022-03-14,日跌幅偏离值达7%的证券,0.00,银龙股份,603969
0.00,2022-03-01,日换手率达20%的证券,3683.73,浙江东日,600113
1737.19,2022-03-01,有价格涨跌幅限制的日换手率达到30%的证券,1879.52,零点有数,301169
16512.70,2022-03-01,日涨幅偏离值达7%的证券,0.00,新希望,000876
0.00,2022-02-28,无价格涨跌幅限制的证券,6061.41,大族数控,301200
4391.35,2022-03-22,日振幅值达15%的证券,8656.49,岭南控股,000524
2868.64,2022-03-22,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,2142.40,金银河,300619
2042.30,2022-03-22,日跌幅偏离值达7%的证券,3051.80,长江健康,002435
1755.02,2022-03-22,日跌幅偏离值达7%的证券,2240.32,威尔药业,603351
2170.73,2022-03-22,有价格涨跌幅限制的日换手率达到30%的证券,4227.19,共同药业,300966
8402.12,2022-03-22,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,0.00,力芯微,688601
0.00,2022-03-22,"连续三个交易日内,涨幅偏离值累计达20%的证券",20316.60,国机汽车,600335
482.34,2022-03-04,日振幅值达15%的证券,348.65,茂化实华,000637
12392.00,2022-03-04,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,36923.14,中科创达,300496
134.01,2022-03-04,日振幅值达15%的证券,901.27,中成股份,000151
2377.66,2022-03-04,日跌幅偏离值达7%的证券,1321.59,贝肯能源,002828
116.56,2022-03-04,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,126.19,ST柏龙,002776
0.00,2022-03-04,日跌幅偏离值达7%的证券,479.79,宁波富邦,600768
443.56,2022-03-04,日跌幅偏离值达7%的证券,701.51,方正电机,002196
167.40,2022-02-22,"连续三个交易日内,涨幅偏离值累计达20%的证券",4276.34,新天药业,002873
1227.72,2022-02-22,有价格涨跌幅限制的日换手率达到30%的证券,27.35,申菱环境,301018
3871.79,2022-02-22,日换手率达20%的证券,16.37,荣联科技,002642
1350.31,2022-02-22,日振幅值达15%的证券,0.00,广誉远,600771
485.80,2022-03-31,"连续三个交易日内,涨幅偏离值累计达20%的证券",1701.83,中国武夷,000797
0.00,2022-03-31,日跌幅偏离值达7%的证券,5575.60,科达制造,600499
1163.54,2022-03-31,日跌幅偏离值达7%的证券,1271.51,京泉华,002885
1356.95,2022-03-31,日振幅值达15%的证券,0.00,创新医疗,002173
6906.58,2022-03-30,日换手率达20%的证券,25795.99,浙江建投,002761
0.00,2022-03-30,日跌幅偏离值达7%的证券,19538.68,山煤国际,600546
30761.60,2022-03-30,日涨幅偏离值达7%的证券,8543.28,东方雨虹,002271
17972.31,2022-03-11,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,0.00,亚辉龙,688575
5647.43,2022-03-11,日振幅值达15%的证券,101.42,榕基软件,002474
5952.34,2022-03-11,有价格涨跌幅限制的日换手率达到30%的证券,4322.74,达嘉维康,301126
5831.71,2022-03-11,日跌幅偏离值达7%的证券,3187.54,延华智能,002178
19962.65,2022-03-11,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,102687.63,万孚生物,300482
0.00,2022-03-11,无价格涨跌幅限制的证券,985.43,青木股份,301110
13488.19,2022-03-11,日跌幅偏离值达7%的证券,43160.71,宏发股份,600885
1513.24,2022-03-28,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,0.00,凯因科技,688687
3222.37,2022-03-28,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.00,亚钾国际,000893
14189.14,2022-03-28,日涨幅偏离值达7%的证券,14695.51,阳光城,000671
974.82,2022-03-28,有价格涨跌幅限制的日换手率达到30%的证券,4219.79,本立科技,301065
680.03,2022-03-28,日跌幅偏离值达7%的证券,0.00,红星发展,600367
901.54,2022-03-28,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,2496.74,久祺股份,300994
0.00,2022-04-11,日换手率达20%的证券,1646.44,六国化工,600470
15758.32,2022-04-11,"连续三个交易日内,跌幅偏离值累计达20%的证券",12262.70,粤水电,002060
4492.30,2022-04-11,日振幅值达15%的证券,0.00,雪峰科技,603227
0.00,2022-04-11,日换手率达20%的证券,804.58,三和管桩,003037
0.00,2022-04-11,日振幅值达15%的证券,2675.81,中天精装,002989
0.00,2022-04-11,"连续三个交易日内,涨幅偏离值累计达20%的证券",5406.58,广汇物流,600603
0.27,2022-04-11,日换手率达20%的证券,860.08,青岛食品,001219
0.00,2022-04-11,无价格涨跌幅限制的证券,1488.73,冠龙节能,301151
2964.04,2022-02-07,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,707.76,左江科技,300799
7705.76,2022-02-07,日涨幅偏离值达7%的证券,589.15,陕西金叶,000812
1442.83,2022-02-07,"连续三个交易日内,跌幅偏离值累计达20%的证券",29244.79,万里扬,002434
2009.31,2022-01-26,连续3个交易日内收盘价格跌幅较基准指数偏离值累计达到-30%的证券,9479.98,华宝股份,300741
580.12,2022-01-26,有价格涨跌幅限制的日换手率达到30%的证券,2021.41,春晖智控,300943
233.37,2022-01-26,日涨幅偏离值达7%的证券,82.62,越剑智能,603095
0.23,2022-01-26,日换手率达20%的证券,14910.06,金财互联,002530
590.32,2022-02-14,日振幅值达15%的证券,3805.67,泰禾集团,000732
1053.24,2022-02-14,"连续三个交易日内,涨幅偏离值累计达20%的证券",1303.71,高乐股份,002348
1357.83,2022-02-11,日跌幅偏离值达7%的证券,1004.02,沃格光电,603773
0.00,2022-02-11,日换手率达20%的证券,1448.84,曲江文旅,600706
103.58,2022-02-28,日振幅值达15%的证券,2986.87,日海智能,002313
118.96,2022-02-28,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,556.15,易瑞生物,300942
313.31,2022-02-28,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,610.63,新晨科技,300542
325.09,2022-02-28,有价格涨跌幅限制的日换手率达到30%的证券,740.94,兆龙互连,300913
0.00,2022-02-28,日涨幅偏离值达7%的证券,5175.81,川能动力,000155
0.94,2022-02-28,日振幅值达15%的证券,1281.77,通润装备,002150
0.00,2022-02-28,"连续三个交易日内,涨幅偏离值累计达20%的证券",2407.95,嘉澳环保,603822
109.10,2022-03-22,日跌幅偏离值达7%的证券,1349.15,通达动力,002576
0.00,2022-03-22,"连续三个交易日内,涨幅偏离值累计达20%的证券",790.40,晋亿实业,601002
11756.72,2022-03-21,日涨幅偏离值达7%的证券,5661.03,普洛药业,000739
2278.26,2022-03-21,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,1421.34,华平股份,300074
226.60,2022-03-21,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,590.98,双杰电气,300444
13615.54,2022-03-21,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,0.00,瑞联新材,688550
0.00,2022-03-21,"连续三个交易日内,涨幅偏离值累计达20%的证券",1562.29,建研院,603183
0.00,2022-03-04,"连续三个交易日内,涨幅偏离值累计达20%的证券",2523.74,金达威,002626
4689.40,2022-03-04,"连续三个交易日内,涨幅偏离值累计达20%的证券",1246.40,浦东金桥,600639
281.30,2022-03-04,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,73.44,*ST新光,002147
0.00,2022-03-03,"连续三个交易日内,涨幅偏离值累计达20%的证券",1180.09,宁水集团,603700
332.07,2022-03-03,日跌幅偏离值达7%的证券,162.19,人人乐,002336
7696.36,2022-03-03,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,3794.36,通源石油,300164
4040.06,2022-03-03,日跌幅偏离值达7%的证券,19873.52,拓普集团,601689
0.00,2022-02-22,"连续三个交易日内,涨幅偏离值累计达20%的证券",23875.50,金种子酒,600199
0.00,2022-02-22,日涨幅偏离值达7%的证券,6676.89,韩建河山,603616
0.00,2022-02-21,"连续三个交易日内,涨幅偏离值累计达20%的证券",1633.36,浙大网新,600797
1405.91,2022-02-21,有价格涨跌幅限制的日换手率达到30%的证券,1578.70,深城交,301091
2566.22,2022-02-21,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,9571.76,奥飞数据,300738
456.95,2022-02-21,日振幅值达15%的证券,284.36,浙农股份,002758
66.42,2022-02-21,"连续三个交易日内,涨幅偏离值累计达20%的证券",11100.52,英维克,002837
1390.99,2022-02-21,日换手率达20%的证券,0.00,汇绿生态,001267
0.00,2022-03-30,"连续三个交易日内,涨幅偏离值累计达20%的证券",919.42,世荣兆业,002016
1291.65,2022-03-30,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,4528.47,特发服务,300917
733.50,2022-03-30,日跌幅偏离值达7%的证券,1717.66,金时科技,002951
806.82,2022-03-30,日换手率达20%的证券,1250.70,中农联合,003042
5014.22,2022-03-30,日涨幅偏离值达7%的证券,0.00,有研新材,600206
3445.11,2022-03-30,"连续三个交易日内,跌幅偏离值累计达20%的证券",2571.66,广田集团,002482
968.94,2022-03-30,日跌幅偏离值达7%的证券,2369.20,华兰生物,002007
